SheetVersion0

[SheetInfo]
AudioFileName=Milky Way
AudioViewTime=30
ImageFileName=Milky Way_Img
BPM=155
Offset=0.2325
Beat=44
Bit=32
Bar=80

[ContentInfo]
Title=Milky Way
Artist=SHK
Source=SHK
Sheet=LHEALP
Difficult=4

[NoteInfo]
64,192,1550,1,0,0:0:0:0:
192,192,1744,1,0,0:0:0:0:
320,192,1937,1,0,0:0:0:0:
448,192,2131,1,0,0:0:0:0:
192,192,2325,1,0,0:0:0:0:
64,192,2325,1,0,0:0:0:0:
448,192,2712,1,0,0:0:0:0:
64,192,2905,1,0,0:0:0:0:
320,192,3099,1,0,0:0:0:0:
192,192,3292,1,0,0:0:0:0:
64,192,3486,1,0,0:0:0:0:
448,192,3486,1,0,0:0:0:0:
320,192,3679,1,0,0:0:0:0:
448,192,3873,1,0,0:0:0:0:
64,192,3873,1,0,0:0:0:0:
192,192,4260,1,0,0:0:0:0:
320,192,4454,1,0,0:0:0:0:
448,192,4647,1,0,0:0:0:0:
64,192,5228,1,0,0:0:0:0:
192,192,5324,1,0,0:0:0:0:
320,192,5421,1,0,0:0:0:0:
448,192,5808,1,0,0:0:0:0:
192,192,6195,1,0,0:0:0:0:
64,192,6389,1,0,0:0:0:0:
192,192,6583,1,0,0:0:0:0:
320,192,6970,1,0,0:0:0:0:
448,192,6970,1,0,0:0:0:0:
320,192,7550,1,0,0:0:0:0:
320,192,7744,1,0,0:0:0:0:
192,192,8131,1,0,0:0:0:0:
64,192,8324,1,0,0:0:0:0:
192,192,8518,1,0,0:0:0:0:
448,192,8712,1,0,0:0:0:0:
64,192,8905,1,0,0:0:0:0:
448,192,9099,1,0,0:0:0:0:
64,192,9292,1,0,0:0:0:0:
448,192,9486,1,0,0:0:0:0:
64,192,9679,1,0,0:0:0:0:
192,192,9776,1,0,0:0:0:0:
320,192,9873,1,0,0:0:0:0:
192,192,9970,1,0,0:0:0:0:
64,192,10066,1,0,0:0:0:0:
448,192,10066,1,0,0:0:0:0:
320,192,10260,1,0,0:0:0:0:
192,192,10357,1,0,0:0:0:0:
64,192,10454,1,0,0:0:0:0:
448,192,10454,1,0,0:0:0:0:
320,192,10647,1,0,0:0:0:0:
192,192,10841,1,0,0:0:0:0:
320,192,11034,1,0,0:0:0:0:
192,192,11131,1,0,0:0:0:0:
64,192,11228,1,0,0:0:0:0:
192,192,11324,1,0,0:0:0:0:
320,192,11421,1,0,0:0:0:0:
448,192,11421,1,0,0:0:0:0:
64,192,11615,1,0,0:0:0:0:
192,192,11808,1,0,0:0:0:0:
320,192,12002,1,0,0:0:0:0:
448,192,12195,1,0,0:0:0:0:
448,192,12389,1,0,0:0:0:0:
64,192,12389,1,0,0:0:0:0:
448,192,12583,1,0,0:0:0:0:
64,192,12776,1,0,0:0:0:0:
448,192,12776,1,0,0:0:0:0:
448,192,12970,1,0,0:0:0:0:
448,192,13163,1,0,0:0:0:0:
64,192,13163,1,0,0:0:0:0:
320,192,13260,1,0,0:0:0:0:
192,192,13357,1,0,0:0:0:0:
64,192,13454,1,0,0:0:0:0:
192,192,13550,1,0,0:0:0:0:
320,192,13744,1,0,0:0:0:0:
448,192,13744,1,0,0:0:0:0:
448,192,13937,1,0,0:0:0:0:
320,192,14324,1,0,0:0:0:0:
192,192,14518,1,0,0:0:0:0:
320,192,14712,1,0,0:0:0:0:
64,192,15099,1,0,0:0:0:0:
64,192,15486,1,0,0:0:0:0:
64,192,15873,1,0,0:0:0:0:
192,192,16260,1,0,0:0:0:0:
320,192,16260,1,0,0:0:0:0:
448,192,16647,1,0,0:0:0:0:
320,192,16744,1,0,0:0:0:0:
192,192,16841,1,0,0:0:0:0:
64,192,16937,1,0,0:0:0:0:
192,192,17034,1,0,0:0:0:0:
320,192,17034,1,0,0:0:0:0:
448,192,17228,1,0,0:0:0:0:
192,192,17421,1,0,0:0:0:0:
320,192,17615,1,0,0:0:0:0:
64,192,17808,1,0,0:0:0:0:
192,192,18050,1,0,0:0:0:0:
448,192,18341,1,0,0:0:0:0:
448,192,18583,1,0,0:0:0:0:
64,192,18970,1,0,0:0:0:0:
320,192,18970,1,0,0:0:0:0:
192,192,19357,1,0,0:0:0:0:
320,192,19454,1,0,0:0:0:0:
448,192,19550,1,0,0:0:0:0:
320,192,19647,1,0,0:0:0:0:
192,192,19744,1,0,0:0:0:0:
64,192,19841,1,0,0:0:0:0:
448,192,19937,1,0,0:0:0:0:
448,192,20131,1,0,0:0:0:0:
320,192,20324,1,0,0:0:0:0:
192,192,20518,1,0,0:0:0:0:
64,192,20712,1,0,0:0:0:0:
320,192,20905,1,0,0:0:0:0:
320,192,21147,1,0,0:0:0:0:
320,192,21437,1,0,0:0:0:0:
192,192,21679,1,0,0:0:0:0:
64,192,22066,1,0,0:0:0:0:
192,192,22454,1,0,0:0:0:0:
320,192,22454,1,0,0:0:0:0:
448,192,22647,1,0,0:0:0:0:
320,192,22744,1,0,0:0:0:0:
192,192,22841,1,0,0:0:0:0:
320,192,22937,1,0,0:0:0:0:
192,192,23034,1,0,0:0:0:0:
